115,type_b,myshop,c_1,T,1,C,N
116,type_b,myshop,c_2,T,2,C,N
117,type_b,myshop,c_3,T,3,C,N
131,type_b,myshop_coupon,c_1,T,1,C,N
132,type_b,myshop_coupon,c_2,T,2,C,N
133,type_b,myshop_coupon,c_3,T,3,C,N
119,type_b,myshop_mileage,c_1,T,1,C,N
120,type_b,myshop_mileage,c_2,T,2,C,N
121,type_b,myshop_mileage,c_3,T,3,C,N
122,type_b,myshop_orders,c_1,T,1,C,N
123,type_b,myshop_orders,c_2,T,2,C,N
124,type_b,myshop_orders,c_3,T,3,C,N
125,type_b,myshop_orders_detail,c_1,T,1,C,N
126,type_b,myshop_orders_detail,c_2,T,2,C,N
127,type_b,myshop_orders_detail,c_3,T,3,C,N
214,type_b,myshop_orders_detail_print1,c_1,T,1,C,N
215,type_b,myshop_orders_detail_print2,c_1,T,1,C,N
216,type_b,myshop_orders_detail_print3,c_1,T,1,C,N
128,type_b,myshop_wishlist,c_1,T,1,C,N
129,type_b,myshop_wishlist,c_2,T,2,C,N
130,type_b,myshop_wishlist,c_3,T,3,C,N
134,type_b,name_auth_a,c_1,T,1,C,N
136,type_b,name_auth_f,c_1,T,1,C,N
171,type_b,online_quotation,c_1,T,1,C,N
172,type_b,online_quotation,c_2,T,2,C,N
173,type_b,online_quotation,c_3,T,3,C,N
213,type_b,online_quotation_option,c_1,T,1,C,N
174,type_b,online_quotation_print,c_1,T,1,C,N
140,type_b,order_result,c_1,T,1,C,N
141,type_b,order_result,c_2,T,2,C,N
142,type_b,order_result,c_3,T,3,C,N
155,type_b,poll_r,c_1,T,1,C,N
156,type_b,privacy_agree,c_1,T,1,C,N
157,type_b,privacy_agree,c_2,T,2,C,N
158,type_b,privacy_agree,c_3,T,3,C,N
75,type_b,product,c_1,T,1,C,N
76,type_b,product,c_2,T,2,C,N
77,type_b,product,c_3,T,3,C,N
78,type_b,project,c_1,T,1,C,N
79,type_b,project,c_2,T,2,C,N
80,type_b,project,c_3,W,3,C,N
191,type_b,project,prod_dis1,H,0,C,N
192,type_b,project,prod_dis1_b,H,0,C,N
194,type_b,project,prod_dis2_b_img,H,0,C,N
193,type_b,project,prod_dis2_img,H,0,C,N
195,type_b,project,prod_dis3_img,H,0,C,N
196,type_b,project,prod_dis4_img,H,0,C,N
170,type_b,recommend_mail,c_1,T,1,C,N
160,type_b,result,c_1,T,1,C,N
161,type_b,result,c_2,T,2,C,N
162,type_b,result,c_3,T,3,C,N
163,type_b,search,c_1,T,1,C,N
164,type_b,search,c_2,T,2,C,N
165,type_b,search,c_3,T,3,C,N
169,type_b,zipcode_search,c_1,T,1,C,N
219,type_b,board_list,g_3,T,4,C,N
218,type_b,common,a_41,F,25,L,N
220,type_b,common,a_42,T,28,R,N
221,type_b,common,a_43,T,29,R,N
222,type_b,common,a_44,T,30,R,N
223,type_b,myshop_orders_detail_receipt,c_1,T,1,C,N
